Date,Open,High,Low,Close ,Adj Close ,Volume
1-Jul-25,219.3,223.17,216.31,218.96,218.5,"16,962,200"
30-Jun-25,226.5,228.22,218.38,218.63,218.17,"31,844,200"
27-Jun-25,213.69,214.65,209.96,210.24,209.79,"14,127,500"
26-Jun-25,212,214.42,210.36,212.82,212.37,"10,531,100"
25-Jun-25,214.94,216.93,210.23,210.72,210.27,"11,804,600"
24-Jun-25,209.99,216.37,208.55,215.27,214.81,"19,030,600"
23-Jun-25,205.51,207.27,202.54,207.04,206.6,"13,418,400"
20-Jun-25,213.35,213.8,204.64,205.17,204.73,"20,879,100"
18-Jun-25,211.09,214.72,209.57,210.87,210.42,"15,055,400"
17-Jun-25,210.66,215.88,207.48,208.18,207.74,"17,819,200"
16-Jun-25,213.2,215.17,209.98,211.1,210.65,"22,665,300"
13-Jun-25,201.58,216.6,201.2,215.22,214.76,"53,707,400"
12-Jun-25,189.96,202.49,188.88,199.86,199.44,"54,610,000"
11-Jun-25,177.55,179.55,176.2,176.38,176.01,"18,002,900"
10-Jun-25,177.71,177.85,174.28,177.48,177.1,"11,056,700"
9-Jun-25,174.86,178.72,173.79,177.15,176.77,"9,668,900"
6-Jun-25,174,174.79,172.66,174.02,173.65,"6,833,700"
5-Jun-25,169,172.26,168.76,171.14,170.78,"7,707,800"
4-Jun-25,169.71,170.48,167.57,168.1,167.74,"6,375,800"
3-Jun-25,166.8,169.33,166.59,169.14,168.78,"7,155,300"
2-Jun-25,164.17,167,162.6,166.57,166.22,"7,166,000"
30-May-25,163.43,165.75,161.55,165.53,165.18,"17,547,900"
29-May-25,165,165.32,161.49,162.9,162.55,"6,994,700"
28-May-25,161.87,164.32,161.28,163.85,163.5,"8,090,700"
27-May-25,159.32,162.4,158.92,161.91,161.57,"6,976,800"
23-May-25,154.99,157.38,154.26,155.97,155.64,"6,527,500"
22-May-25,156.98,159.19,156.82,157.31,156.98,"7,603,300"
21-May-25,158.35,160.9,156.46,157.18,156.85,"6,011,000"
20-May-25,158.63,160.36,157.53,160.31,159.97,"7,576,400"
19-May-25,158.3,161.97,157.83,159.64,159.3,"10,268,900"
16-May-25,160,160.84,158.52,160.49,160.15,"8,515,500"
15-May-25,161.36,161.74,158.91,159.4,159.06,"10,169,200"
14-May-25,162.36,163.41,161.06,162.95,162.6,"7,499,400"
13-May-25,158.22,163.22,157.57,162.27,161.93,"11,955,200"
12-May-25,156.31,157.43,154.42,157.22,156.89,"7,875,500"
9-May-25,150.04,151.8,149.79,150.34,150.02,"4,707,100"
8-May-25,149.05,151.81,148.61,150.3,149.98,"6,113,600"
7-May-25,147.5,149.9,147.24,149.37,149.05,"6,049,600"
6-May-25,146.98,148.94,145.72,147.7,147.39,"5,108,600"
5-May-25,149.44,150.82,148.52,149.29,148.97,"5,187,400"
2-May-25,148.33,153.06,148.33,150.73,150.41,"11,346,000"
1-May-25,146.56,148.64,145.34,145.49,145.18,"11,525,800"
30-Apr-25,138.48,141.3,135.57,140.72,140.42,"9,443,500"
29-Apr-25,139.81,141.16,139.55,140.79,140.49,"4,851,500"
28-Apr-25,139.65,140.67,138.08,140.14,139.84,"6,985,100"
25-Apr-25,137.49,139,136.76,138.49,138.2,"5,476,400"
24-Apr-25,132.51,137.86,132,137.51,137.22,"7,305,900"
23-Apr-25,134.91,135.87,130.99,131.4,131.12,"9,528,900"
22-Apr-25,124.5,127.99,123.39,127.24,126.97,"11,233,700"
21-Apr-25,126.89,127.2,121.24,122.82,122.56,"12,201,200"
17-Apr-25,130.9,131.3,128.44,128.62,128.35,"8,925,500"
16-Apr-25,132.28,132.54,127.85,129.76,129.48,"8,295,200"
15-Apr-25,134.76,136.48,133.72,133.94,133.66,"8,630,000"
14-Apr-25,136.8,136.8,132.87,134.64,134.35,"8,217,700"
11-Apr-25,132.11,133,128.84,132.35,132.07,"10,190,200"
10-Apr-25,136.65,136.65,129.26,133.35,133.07,"12,401,600"
9-Apr-25,123.4,140.59,123.4,139.69,138.89,"17,762,000"
8-Apr-25,132.54,132.99,121.7,124.5,123.79,"11,950,300"
7-Apr-25,118.86,134.11,118.86,127.16,126.44,"19,482,700"
4-Apr-25,132.91,133.82,126.95,128.27,127.54,"14,986,900"
3-Apr-25,139.25,141.4,136.64,137.23,136.45,"14,433,800"
2-Apr-25,139.86,147.89,139.86,145.86,145.03,"11,594,400"
1-Apr-25,139.76,143.25,138.76,141.94,141.13,"9,518,500"
31-Mar-25,138.64,140.59,136.76,139.81,139.01,"15,509,900"
28-Mar-25,143.78,145.65,139.11,140.87,140.07,"13,144,500"
27-Mar-25,145.85,147.04,144.92,145.78,144.95,"9,148,300"
26-Mar-25,152.89,153.03,146.56,147.8,146.96,"13,210,000"
25-Mar-25,154.51,155.6,153.05,153.93,153.05,"8,521,200"
24-Mar-25,156.34,156.6,154.03,154.87,153.99,"7,848,300"
21-Mar-25,151.65,153.84,150.11,152.23,151.36,"17,620,200"
20-Mar-25,151.58,154.49,150.82,152.72,151.85,"7,051,600"
19-Mar-25,150.06,154.07,150,152.45,151.58,"6,909,500"
18-Mar-25,152.37,152.42,148.63,149.45,148.6,"9,402,500"
17-Mar-25,150.4,155.75,150.4,154.01,153.13,"9,885,000"
14-Mar-25,148.92,150.88,147.88,149.27,148.42,"9,330,000"
13-Mar-25,149.79,150.17,145.48,147.66,146.82,"14,187,700"
12-Mar-25,146.23,152.23,145.01,150.89,150.03,"15,373,900"
11-Mar-25,143.42,145.78,137.7,144.18,143.36,"27,200,200"
10-Mar-25,150.53,152.52,146.8,148.79,147.94,"21,486,100"
7-Mar-25,150.62,156.48,148.5,155.16,154.28,"12,646,500"
6-Mar-25,157.16,157.16,149.73,150.94,150.08,"12,321,200"
5-Mar-25,158.06,162.49,157.05,161.56,160.64,"7,141,000"
4-Mar-25,159.22,159.76,153.52,157.47,156.57,"13,171,900"
3-Mar-25,166.95,167.12,161.13,162.02,161.1,"8,081,800"
28-Feb-25,163.11,166.15,160.81,166.06,165.11,"12,843,300"
27-Feb-25,173,174.86,164.58,164.76,163.82,"7,436,800"
26-Feb-25,170.98,173.87,169.13,172.47,171.49,"6,915,100"
25-Feb-25,169.29,170.6,164.44,168.54,167.58,"8,316,100"
24-Feb-25,173.57,174.17,164.66,169.96,168.99,"10,639,100"
21-Feb-25,176.12,176.88,167.55,167.81,166.85,"9,713,900"
20-Feb-25,179.81,180.27,174.43,176,175,"8,737,000"
19-Feb-25,178.58,181.68,175.7,181.52,180.49,"8,688,500"
18-Feb-25,176.75,182.24,176.09,179.8,178.78,"11,430,500"
14-Feb-25,174.25,175.03,172.81,174.16,173.17,"7,260,900"
13-Feb-25,173,174.38,172.1,173.86,172.87,"6,421,700"
12-Feb-25,174.89,174.89,170.71,172.22,171.24,"7,454,800"
11-Feb-25,177.62,179.12,176.45,177.19,176.18,"6,528,800"
10-Feb-25,176,179.99,174.92,178.92,177.9,"7,625,900"
7-Feb-25,175,177.39,173.18,174.46,173.47,"9,991,300"
6-Feb-25,173,175.65,171.57,172.35,171.37,"7,036,900"
5-Feb-25,168.99,171.89,168.52,171.66,170.68,"7,866,700"
4-Feb-25,170.4,170.4,166.35,167.89,166.93,"6,777,000"
3-Feb-25,163.2,169.9,163.2,168.6,167.64,"8,250,600"
