Date,Open,High,Low,Close ,Adj Close ,Volume
16-Feb-24,407.96,408.29,403.44,404.06,402.61,"22,281,100"
15-Feb-24,408.14,409.13,404.29,406.56,405.1,"21,825,500"
14-Feb-24,408.07,409.84,404.57,409.49,408.02,"20,401,200"
13-Feb-24,404.94,410.07,403.39,406.32,404.11,"27,824,900"
12-Feb-24,420.56,420.74,414.75,415.26,413,"21,202,900"
9-Feb-24,415.25,420.82,415.09,420.55,418.26,"22,032,800"
8-Feb-24,414.05,415.56,412.53,414.11,411.86,"21,225,300"
7-Feb-24,407.44,414.3,407.4,414.05,411.8,"22,340,500"
6-Feb-24,405.88,407.97,402.91,405.49,403.29,"18,382,600"
5-Feb-24,409.9,411.16,403.99,405.65,403.45,"25,352,300"
2-Feb-24,403.81,412.65,403.56,411.22,408.98,"28,245,000"
1-Feb-24,401.83,408,401.8,403.78,401.59,"30,657,700"
31-Jan-24,406.96,415.32,397.21,397.58,395.42,"47,871,100"
30-Jan-24,412.26,413.05,406.45,408.59,406.37,"33,477,600"
29-Jan-24,406.06,409.98,404.33,409.72,407.49,"24,510,200"
26-Jan-24,404.37,406.17,402.43,403.93,401.73,"17,803,300"
25-Jan-24,404.32,407.01,402.53,404.87,402.67,"21,021,200"
24-Jan-24,401.54,405.63,400.45,402.56,400.37,"24,867,000"
23-Jan-24,395.75,399.38,393.93,398.9,396.73,"20,525,900"
22-Jan-24,400.02,400.62,393.59,396.51,394.35,"27,016,900"
19-Jan-24,395.76,398.67,393.5,398.67,396.5,"29,272,000"
18-Jan-24,391.72,393.99,390.12,393.87,391.73,"23,392,100"
17-Jan-24,387.98,390.11,384.81,389.47,387.35,"22,234,100"
16-Jan-24,393.66,394.03,387.62,390.27,388.15,"27,202,300"
12-Jan-24,385.49,388.68,384.65,388.47,386.36,"21,645,700"
11-Jan-24,386,390.68,380.38,384.63,382.54,"27,850,800"
10-Jan-24,376.37,384.17,376.32,382.77,380.69,"25,514,200"
9-Jan-24,372.01,375.99,371.19,375.79,373.75,"20,830,000"
8-Jan-24,369.3,375.2,369.01,374.69,372.65,"23,134,000"
5-Jan-24,368.97,372.06,366.5,367.75,365.75,"20,987,000"
4-Jan-24,370.67,373.1,367.17,367.94,365.94,"20,901,500"
3-Jan-24,369.01,373.26,368.51,370.6,368.59,"23,083,500"
2-Jan-24,373.86,375.9,366.77,370.87,368.85,"25,258,600"
29-Dec-23,376,377.16,373.48,376.04,374,"18,723,000"
28-Dec-23,375.37,376.46,374.16,375.28,373.24,"14,327,000"
27-Dec-23,373.69,375.06,372.81,374.07,372.04,"14,905,400"
26-Dec-23,375,376.94,373.5,374.66,372.62,"12,673,100"
22-Dec-23,373.68,375.18,372.71,374.58,372.54,"17,091,100"
21-Dec-23,372.56,374.41,370.04,373.54,371.51,"17,708,000"
20-Dec-23,375,376.03,370.53,370.62,368.61,"26,316,700"
19-Dec-23,371.49,373.26,369.84,373.26,371.23,"20,603,700"
18-Dec-23,369.45,373,368.68,372.65,370.62,"21,802,900"
15-Dec-23,366.85,372.4,366.28,370.73,368.71,"78,478,200"
14-Dec-23,373.31,373.76,364.13,365.93,363.94,"43,277,500"
13-Dec-23,376.02,377.64,370.77,374.37,372.34,"30,955,500"
12-Dec-23,370.85,374.42,370.46,374.38,372.35,"24,838,300"
11-Dec-23,368.48,371.6,366.1,371.3,369.28,"27,708,800"
8-Dec-23,369.2,374.46,368.23,374.23,372.2,"20,144,800"
7-Dec-23,368.23,371.45,366.32,370.95,368.93,"23,118,900"
6-Dec-23,373.54,374.18,368.03,368.8,366.8,"21,182,100"
5-Dec-23,366.45,373.08,365.62,372.52,370.5,"23,065,000"
4-Dec-23,369.1,369.52,362.9,369.14,367.13,"32,063,300"
1-Dec-23,376.76,378.16,371.31,374.51,372.47,"33,020,400"
30-Nov-23,378.49,380.09,375.47,378.91,376.85,"30,554,400"
29-Nov-23,383.76,384.3,377.44,378.85,376.79,"28,963,400"
28-Nov-23,378.35,383,378.16,382.7,380.62,"20,453,100"
27-Nov-23,376.78,380.64,376.2,378.61,376.55,"22,179,200"
24-Nov-23,377.33,377.97,375.14,377.43,375.38,"10,176,600"
22-Nov-23,378,379.79,374.97,377.85,375.8,"23,345,300"
21-Nov-23,375.67,376.22,371.12,373.07,371.04,"28,423,100"
20-Nov-23,371.22,378.87,371,377.44,375.39,"52,465,100"
17-Nov-23,373.61,374.37,367,369.85,367.84,"40,157,000"
16-Nov-23,370.96,376.35,370.18,376.17,374.13,"27,182,300"
15-Nov-23,371.28,373.13,367.11,369.67,367.66,"26,860,100"
14-Nov-23,371.01,371.95,367.35,370.27,367.51,"27,683,900"
13-Nov-23,368.22,368.47,365.9,366.68,363.95,"19,986,500"
10-Nov-23,361.49,370.1,361.07,369.67,366.92,"28,042,100"
9-Nov-23,362.3,364.79,360.36,360.69,358,"24,847,300"
8-Nov-23,361.68,363.87,360.55,363.2,360.49,"26,767,800"
7-Nov-23,359.4,362.46,357.63,360.53,357.84,"25,833,900"
6-Nov-23,353.45,357.54,353.35,356.53,353.87,"23,828,300"
3-Nov-23,349.63,354.39,347.33,352.8,350.17,"23,624,000"
2-Nov-23,347.24,348.83,344.77,348.32,345.73,"24,348,100"
1-Nov-23,339.79,347.42,339.65,346.07,343.49,"28,158,800"
31-Oct-23,338.85,339,334.69,338.11,335.59,"20,265,300"
30-Oct-23,333.41,339.45,331.83,337.31,334.8,"22,828,100"
27-Oct-23,330.43,336.72,328.4,329.81,327.35,"29,856,500"
26-Oct-23,340.54,341.63,326.94,327.89,325.45,"37,828,500"
25-Oct-23,345.02,346.2,337.62,340.67,338.13,"55,053,800"
24-Oct-23,331.3,331.84,327.6,330.53,328.07,"31,153,600"
23-Oct-23,325.47,332.73,324.39,329.32,326.87,"24,374,700"
